rincom91,age,educ,hrs1,sex,degree,satjob,impjob,agecat4
22.5K-30K,51.0,10,50.0,Male,Less than HS,Mod satisfied,Very important,50+
Over 40K,33.0,16,70.0,Male,Bachelor,Very satisfied,Very important,30-39
15K-22.5K,27.0,20,40.0,Male,Graduate,Very satisfied,Very important,18-29
15K-22.5K,22.0,12,40.0,Female,High school,Very dissatisfied,Very important,18-29
Over 40K,40.0,13,45.0,Male,High school,Very satisfied,Somewhat important,40-49
22.5K-30K,43.0,12,50.0,Female,High school,Mod satisfied,Very important,40-49
Over 40K,35.0,20,80.0,Male,Graduate,A little dissatisfied,Very important,30-39
30-40K,39.0,18,60.0,Male,Graduate,Mod satisfied,Very important,30-39
Over 40K,40.0,18,50.0,Male,Graduate,Mod satisfied,Very important,40-49
Over 40K,34.0,16,50.0,Male,Graduate,Mod satisfied,Very important,30-39
Over 40K,77.0,12,35.0,Female,High school,Very satisfied,One of most important,50+
30-40K,53.0,14,45.0,Female,High school,Very dissatisfied,Very important,50+
15K-22.5K,32.0,12,40.0,Male,Less than HS,Very satisfied,Very important,30-39
15K-22.5K,39.0,14,40.0,Female,High school,Very satisfied,Somewhat important,30-39
15K-22.5K,47.0,11,40.0,Female,Less than HS,Mod satisfied,One of most important,40-49
30-40K,43.0,13,46.0,Male,High school,Very satisfied,Very important,40-49
Over 40K,46.0,15,60.0,Male,High school,Mod satisfied,One of most important,40-49
Over 40K,57.0,14,80.0,Female,High school,Very satisfied,Not too important,50+
22.5K-30K,28.0,17,40.0,Female,Bachelor,Mod satisfied,Very important,18-29
Over 40K,26.0,10,50.0,Male,High school,Very satisfied,One of most important,18-29
30-40K,45.0,14,40.0,Female,High school,Very satisfied,Very important,40-49
30-40K,44.0,12,55.0,Male,High school,Mod satisfied,Very important,40-49
Over 40K,46.0,14,41.0,Female,Junior college,Mod satisfied,Very important,40-49
30-40K,55.0,12,40.0,Female,High school,Mod satisfied,One of most important,50+
Over 40K,36.0,16,45.0,Male,Bachelor,Mod satisfied,Very important,30-39
22.5K-30K,25.0,13,48.0,Female,High school,Mod satisfied,Very important,18-29
Over 40K,49.0,13,40.0,Male,High school,Very satisfied,One of most important,40-49
15K-22.5K,52.0,10,40.0,Male,Less than HS,Mod satisfied,One of most important,50+
Over 40K,39.0,13,70.0,Male,High school,Very satisfied,Very important,30-39
Over 40K,27.0,16,45.0,Female,Bachelor,Very satisfied,Very important,18-29
22.5K-30K,38.0,12,40.0,Female,High school,Very satisfied,One of most important,30-39
Over 40K,38.0,18,45.0,Male,Graduate,Mod satisfied,Very important,30-39
Under 15K,47.0,19,60.0,Male,Graduate,Very dissatisfied,One of most important,40-49
Under 15K,38.0,13,35.0,Female,High school,A little dissatisfied,Very important,30-39
30-40K,43.0,12,60.0,Female,High school,Very satisfied,Very important,40-49
22.5K-30K,42.0,13,65.0,Female,High school,Very satisfied,Very important,40-49
22.5K-30K,60.0,12,50.0,Male,High school,Mod satisfied,Very important,50+
22.5K-30K,47.0,6,40.0,Male,Less than HS,Very satisfied,One of most important,40-49
30-40K,36.0,16,50.0,Male,Bachelor,Mod satisfied,Very important,30-39
30-40K,45.0,16,40.0,Male,Bachelor,Very satisfied,Very important,40-49
22.5K-30K,53.0,18,50.0,Male,Graduate,Mod satisfied,Very important,50+
22.5K-30K,44.0,12,40.0,Female,High school,Mod satisfied,Somewhat important,40-49
Over 40K,49.0,16,40.0,Male,Bachelor,Very satisfied,Somewhat important,40-49
Over 40K,57.0,16,40.0,Female,Bachelor,Very satisfied,One of most important,50+
15K-22.5K,39.0,12,40.0,Female,High school,Very satisfied,Very important,30-39
22.5K-30K,48.0,12,48.0,Female,High school,Very satisfied,Very important,40-49
15K-22.5K,32.0,9,40.0,Female,Less than HS,Very satisfied,One of most important,30-39
Under 15K,41.0,15,40.0,Male,High school,Very satisfied,Very important,40-49
22.5K-30K,34.0,14,45.0,Female,Junior college,Very satisfied,Very important,30-39
30-40K,39.0,16,50.0,Female,Bachelor,Very satisfied,One of most important,30-39
Over 40K,41.0,19,55.0,Female,Graduate,Very satisfied,Very important,40-49
22.5K-30K,56.0,10,40.0,Female,Less than HS,Mod satisfied,One of most important,50+
30-40K,35.0,10,37.0,Female,Less than HS,Mod satisfied,One of most important,30-39
22.5K-30K,32.0,15,57.0,Male,High school,A little dissatisfied,Somewhat important,30-39
22.5K-30K,49.0,11,80.0,Female,High school,Mod satisfied,Very important,40-49
22.5K-30K,28.0,12,52.0,Male,High school,Mod satisfied,One of most important,18-29
Over 40K,45.0,19,75.0,Male,Graduate,Very satisfied,Somewhat important,40-49
30-40K,28.0,18,40.0,Male,Graduate,Very dissatisfied,Very important,18-29
Over 40K,35.0,19,60.0,Male,Graduate,A little dissatisfied,Very important,30-39
22.5K-30K,31.0,12,55.0,Female,High school,Very satisfied,One of most important,30-39
15K-22.5K,41.0,11,40.0,Female,High school,Very satisfied,Not too important,40-49
Over 40K,31.0,19,46.0,Female,Graduate,Mod satisfied,Very important,30-39
30-40K,30.0,14,80.0,Female,Junior college,Very satisfied,One of most important,30-39
30-40K,29.0,18,43.0,Male,Junior college,Very satisfied,Very important,18-29
22.5K-30K,28.0,13,40.0,Female,High school,Very dissatisfied,Very important,18-29
22.5K-30K,31.0,16,35.0,Female,Bachelor,Mod satisfied,Very important,30-39
15K-22.5K,50.0,16,40.0,Female,Bachelor,Mod satisfied,Very important,50+
Over 40K,50.0,14,70.0,Male,Junior college,Mod satisfied,Very important,50+
Under 15K,29.0,12,58.0,Female,High school,Mod satisfied,Not too important,18-29
Under 15K,25.0,17,40.0,Male,Bachelor,Very satisfied,Very important,18-29
30-40K,39.0,18,40.0,Female,Bachelor,Mod satisfied,Very important,30-39
Over 40K,38.0,19,65.0,Male,Bachelor,Very satisfied,Very important,30-39
Under 15K,37.0,13,40.0,Female,High school,Mod satisfied,One of most important,30-39
15K-22.5K,38.0,14,40.0,Female,High school,Very satisfied,One of most important,30-39
Over 40K,65.0,16,60.0,Male,Bachelor,Very satisfied,One of most important,50+
Over 40K,58.0,16,60.0,Male,Bachelor,Very satisfied,Somewhat important,50+
15K-22.5K,40.0,18,40.0,Female,Bachelor,Very dissatisfied,Very important,40-49
15K-22.5K,30.0,16,37.0,Male,Bachelor,Very satisfied,Very important,30-39
Over 40K,47.0,20,70.0,Male,Graduate,Very satisfied,One of most important,40-49
Over 40K,49.0,14,80.0,Female,High school,Very satisfied,Very important,40-49
Under 15K,35.0,15,35.0,Female,Junior college,Very satisfied,Somewhat important,30-39
Over 40K,58.0,14,60.0,Male,High school,Very satisfied,Very important,50+
Under 15K,23.0,16,50.0,Female,Bachelor,Very satisfied,Very important,18-29
Over 40K,30.0,16,40.0,Female,Bachelor,Mod satisfied,Not too important,30-39
Under 15K,61.0,12,30.0,Female,High school,Mod satisfied,Very important,50+
15K-22.5K,41.0,12,44.0,Male,High school,Very satisfied,One of most important,40-49
30-40K,27.0,16,32.0,Female,Bachelor,Mod satisfied,One of most important,18-29
22.5K-30K,56.0,10,47.0,Male,High school,Mod satisfied,Somewhat important,50+
15K-22.5K,25.0,16,55.0,Female,Bachelor,Mod satisfied,Very important,18-29
15K-22.5K,28.0,13,55.0,Female,High school,Mod satisfied,Very important,18-29
Under 15K,31.0,12,60.0,Male,High school,Mod satisfied,Somewhat important,30-39
15K-22.5K,31.0,13,66.0,Male,High school,Mod satisfied,One of most important,30-39
Under 15K,26.0,13,40.0,Male,High school,Mod satisfied,Very important,18-29
15K-22.5K,31.0,14,40.0,Male,High school,Very satisfied,Very important,30-39
22.5K-30K,42.0,14,25.0,Male,High school,Very satisfied,Very important,40-49
30-40K,24.0,14,45.0,Female,High school,Very satisfied,Very important,18-29
22.5K-30K,38.0,16,40.0,Male,Bachelor,Very dissatisfied,Very important,30-39
Over 40K,45.0,13,40.0,Male,High school,Very satisfied,Very important,40-49
30-40K,38.0,15,40.0,Female,Junior college,Mod satisfied,Very important,30-39
22.5K-30K,52.0,12,50.0,Male,High school,Mod satisfied,One of most important,50+
Under 15K,44.0,12,32.0,Female,High school,Mod satisfied,Very important,40-49
15K-22.5K,25.0,14,40.0,Male,High school,Mod satisfied,Somewhat important,18-29
15K-22.5K,39.0,16,40.0,Female,Bachelor,Mod satisfied,Very important,30-39
Over 40K,56.0,19,50.0,Male,Graduate,Mod satisfied,Very important,50+
Over 40K,46.0,18,50.0,Female,Graduate,Mod satisfied,Somewhat important,40-49
Over 40K,45.0,16,50.0,Female,Graduate,Very satisfied,Very important,40-49
30-40K,47.0,15,44.0,Male,High school,Very dissatisfied,Very important,40-49
30-40K,25.0,16,40.0,Female,Bachelor,Very satisfied,Very important,18-29
Over 40K,45.0,12,50.0,Male,High school,Mod satisfied,Very important,40-49
Under 15K,23.0,16,40.0,Female,Bachelor,Very satisfied,Very important,18-29
22.5K-30K,57.0,14,50.0,Female,High school,Very satisfied,One of most important,50+
Under 15K,38.0,12,55.0,Female,High school,Mod satisfied,Very important,30-39
15K-22.5K,57.0,12,8.0,Female,High school,Very satisfied,Very important,50+
15K-22.5K,25.0,12,50.0,Female,High school,Mod satisfied,Very important,18-29
22.5K-30K,35.0,14,50.0,Male,High school,Very satisfied,Very important,30-39
15K-22.5K,30.0,12,40.0,Female,High school,Mod satisfied,Very important,30-39
30-40K,37.0,14,40.0,Female,High school,Mod satisfied,Somewhat important,30-39
22.5K-30K,40.0,12,45.0,Female,High school,A little dissatisfied,Somewhat important,40-49
22.5K-30K,38.0,13,55.0,Female,High school,Very satisfied,Somewhat important,30-39
Over 40K,68.0,12,40.0,Male,High school,Very satisfied,Very important,50+
Over 40K,35.0,16,55.0,Male,Bachelor,A little dissatisfied,Very important,30-39
22.5K-30K,25.0,12,40.0,Male,High school,Very satisfied,One of most important,18-29
22.5K-30K,25.0,11,50.0,Female,High school,Mod satisfied,Very important,18-29
15K-22.5K,55.0,12,40.0,Female,High school,A little dissatisfied,Very important,50+
15K-22.5K,29.0,12,42.0,Female,High school,A little dissatisfied,Somewhat important,18-29
15K-22.5K,43.0,12,38.0,Male,High school,Mod satisfied,One of most important,40-49
15K-22.5K,35.0,13,40.0,Male,High school,Mod satisfied,Very important,30-39
15K-22.5K,36.0,14,43.0,Female,High school,A little dissatisfied,Somewhat important,30-39
22.5K-30K,29.0,16,55.0,Male,Bachelor,A little dissatisfied,Very important,18-29
Under 15K,24.0,11,38.0,Female,Less than HS,Mod satisfied,Very important,18-29
30-40K,53.0,15,40.0,Female,High school,Very satisfied,Very important,50+
22.5K-30K,37.0,12,50.0,Female,High school,Very satisfied,Very important,30-39
22.5K-30K,46.0,12,48.0,Female,High school,Very satisfied,Very important,40-49
30-40K,39.0,12,40.0,Male,High school,Very satisfied,One of most important,30-39
Under 15K,60.0,12,56.0,Male,High school,A little dissatisfied,Very important,50+
Over 40K,28.0,12,56.0,Male,High school,Very satisfied,Very important,18-29
30-40K,58.0,12,45.0,Male,High school,Very satisfied,One of most important,50+
30-40K,51.0,12,52.0,Male,High school,Mod satisfied,Very important,50+
Over 40K,50.0,16,40.0,Female,Bachelor,Very satisfied,One of most important,50+
Under 15K,58.0,8,41.0,Male,Less than HS,Mod satisfied,Very important,50+
22.5K-30K,34.0,12,40.0,Female,High school,Very satisfied,One of most important,30-39
Over 40K,33.0,12,46.0,Male,High school,A little dissatisfied,Somewhat important,30-39
22.5K-30K,42.0,12,40.0,Male,High school,Mod satisfied,Not at all important,40-49
22.5K-30K,45.0,15,65.0,Male,High school,Very satisfied,Very important,40-49
15K-22.5K,32.0,12,48.0,Female,High school,Mod satisfied,Very important,30-39
Over 40K,29.0,12,80.0,Male,High school,Mod satisfied,One of most important,18-29
Under 15K,23.0,12,51.0,Male,High school,Very satisfied,Very important,18-29
30-40K,42.0,12,42.0,Male,High school,Very satisfied,Very important,40-49
Under 15K,28.0,12,40.0,Male,High school,Very satisfied,Very important,18-29
15K-22.5K,35.0,12,40.0,Male,High school,Mod satisfied,One of most important,30-39
30-40K,45.0,14,50.0,Female,Junior college,Very satisfied,One of most important,40-49
Over 40K,58.0,16,50.0,Male,Bachelor,Very satisfied,Very important,50+
Over 40K,58.0,16,70.0,Male,Graduate,Very satisfied,Very important,50+
22.5K-30K,67.0,16,46.0,Female,Bachelor,Very satisfied,Very important,50+
15K-22.5K,44.0,12,40.0,Female,High school,Mod satisfied,Somewhat important,40-49
30-40K,30.0,14,45.0,Male,High school,Very satisfied,One of most important,30-39
22.5K-30K,34.0,16,35.0,Female,Bachelor,Very dissatisfied,Very important,30-39
30-40K,45.0,13,48.0,Male,High school,A little dissatisfied,Very important,40-49
Over 40K,47.0,12,40.0,Male,High school,A little dissatisfied,Very important,40-49
30-40K,31.0,12,40.0,Female,High school,Very satisfied,Somewhat important,30-39
30-40K,25.0,16,40.0,Male,Bachelor,Mod satisfied,Very important,18-29
15K-22.5K,40.0,12,40.0,Male,High school,Very satisfied,Very important,40-49
22.5K-30K,49.0,12,40.0,Female,High school,Mod satisfied,Very important,40-49
Over 40K,42.0,13,50.0,Male,High school,A little dissatisfied,Not too important,40-49
Under 15K,42.0,10,40.0,Female,Less than HS,Mod satisfied,Very important,40-49
22.5K-30K,29.0,9,40.0,Male,Less than HS,A little dissatisfied,Very important,18-29
Under 15K,26.0,13,40.0,Female,High school,Mod satisfied,Somewhat important,18-29
Under 15K,60.0,14,40.0,Male,Junior college,Mod satisfied,One of most important,50+
15K-22.5K,25.0,14,40.0,Female,High school,Very satisfied,Very important,18-29
30-40K,44.0,17,35.0,Male,Bachelor,Mod satisfied,One of most important,40-49
30-40K,38.0,12,50.0,Male,High school,Very satisfied,Somewhat important,30-39
30-40K,34.0,18,45.0,Female,Graduate,Very satisfied,One of most important,30-39
30-40K,49.0,16,40.0,Female,Bachelor,Very satisfied,One of most important,40-49
15K-22.5K,33.0,19,40.0,Male,Graduate,Very satisfied,Very important,30-39
Under 15K,55.0,16,80.0,Female,Bachelor,Mod satisfied,Very important,50+
Under 15K,21.0,12,40.0,Male,High school,Mod satisfied,Very important,18-29
30-40K,36.0,17,40.0,Male,Bachelor,Mod satisfied,Very important,30-39
22.5K-30K,31.0,12,40.0,Male,High school,Mod satisfied,Very important,30-39
Over 40K,47.0,12,50.0,Male,High school,Very satisfied,Very important,40-49
Under 15K,38.0,8,36.0,Male,Less than HS,A little dissatisfied,One of most important,30-39
15K-22.5K,49.0,7,30.0,Male,Less than HS,Very satisfied,One of most important,40-49
15K-22.5K,39.0,12,65.0,Female,High school,Very satisfied,Very important,30-39
15K-22.5K,24.0,11,38.0,Male,Less than HS,Mod satisfied,Very important,18-29
22.5K-30K,37.0,12,50.0,Male,High school,Mod satisfied,Very important,30-39
15K-22.5K,40.0,12,40.0,Female,High school,Very satisfied,Very important,40-49
15K-22.5K,26.0,14,50.0,Male,Junior college,Mod satisfied,Somewhat important,18-29
Under 15K,33.0,13,40.0,Female,High school,Mod satisfied,Somewhat important,30-39
30-40K,50.0,12,40.0,Female,High school,A little dissatisfied,Very important,50+
22.5K-30K,46.0,14,40.0,Male,High school,Very satisfied,Somewhat important,40-49
22.5K-30K,60.0,13,40.0,Male,Junior college,Very satisfied,Very important,50+
22.5K-30K,29.0,16,52.0,Female,Bachelor,Very satisfied,Not too important,18-29
22.5K-30K,28.0,17,75.0,Male,High school,Mod satisfied,Somewhat important,18-29
30-40K,29.0,16,40.0,Male,Bachelor,Very satisfied,Very important,18-29
15K-22.5K,46.0,14,40.0,Female,Junior college,Very satisfied,One of most important,40-49
22.5K-30K,47.0,16,5.0,Female,Bachelor,Very satisfied,One of most important,40-49
Under 15K,36.0,8,48.0,Male,Less than HS,Very satisfied,Very important,30-39
22.5K-30K,37.0,10,40.0,Male,High school,Mod satisfied,Very important,30-39
22.5K-30K,25.0,13,43.0,Female,High school,Very satisfied,Very important,18-29
Over 40K,40.0,18,80.0,Male,Graduate,Very satisfied,Very important,40-49
15K-22.5K,33.0,13,8.0,Female,High school,A little dissatisfied,Very important,30-39
30-40K,39.0,12,72.0,Female,High school,Mod satisfied,Very important,30-39
Under 15K,33.0,14,40.0,Female,High school,Very satisfied,Very important,30-39
22.5K-30K,26.0,12,58.0,Male,High school,Mod satisfied,Very important,18-29
15K-22.5K,28.0,12,40.0,Female,High school,Mod satisfied,Very important,18-29
22.5K-30K,33.0,16,40.0,Male,Bachelor,A little dissatisfied,Very important,30-39
22.5K-30K,35.0,17,50.0,Male,Graduate,Very satisfied,Very important,30-39
22.5K-30K,35.0,9,50.0,Male,High school,A little dissatisfied,One of most important,30-39
Under 15K,42.0,11,40.0,Male,Less than HS,Mod satisfied,Very important,40-49
15K-22.5K,23.0,14,50.0,Male,High school,Very satisfied,Very important,18-29
15K-22.5K,37.0,13,80.0,Male,High school,Very satisfied,Very important,30-39
30-40K,34.0,14,40.0,Male,High school,Very satisfied,One of most important,30-39
15K-22.5K,26.0,14,50.0,Male,High school,A little dissatisfied,Very important,18-29
Over 40K,31.0,20,89.0,Male,Graduate,Very satisfied,Very important,30-39
Over 40K,53.0,18,40.0,Female,Graduate,Very satisfied,Very important,50+
15K-22.5K,25.0,12,43.0,Male,High school,Mod satisfied,Very important,18-29
15K-22.5K,37.0,13,40.0,Female,High school,Mod satisfied,Very important,30-39
15K-22.5K,58.0,14,65.0,Male,High school,Very satisfied,One of most important,50+
15K-22.5K,25.0,16,50.0,Female,Bachelor,Very satisfied,One of most important,18-29
22.5K-30K,33.0,10,55.0,Male,Less than HS,Very satisfied,One of most important,30-39
Over 40K,41.0,15,48.0,Female,High school,Very satisfied,Somewhat important,40-49
Under 15K,30.0,12,40.0,Male,High school,Mod satisfied,Somewhat important,30-39
15K-22.5K,59.0,12,70.0,Male,High school,Mod satisfied,One of most important,50+
15K-22.5K,33.0,14,60.0,Male,High school,Mod satisfied,Very important,30-39
Over 40K,46.0,20,60.0,Female,Graduate,Mod satisfied,Very important,40-49
15K-22.5K,25.0,17,45.0,Male,High school,Very satisfied,Very important,18-29
Over 40K,36.0,16,70.0,Male,Bachelor,Mod satisfied,Very important,30-39
15K-22.5K,47.0,12,55.0,Male,High school,Mod satisfied,One of most important,40-49
Under 15K,28.0,10,40.0,Male,Less than HS,Mod satisfied,Very important,18-29
Under 15K,28.0,12,40.0,Female,High school,Very satisfied,Somewhat important,18-29
15K-22.5K,40.0,12,40.0,Female,High school,Mod satisfied,Very important,40-49
Under 15K,35.0,15,50.0,Male,High school,Very satisfied,Very important,30-39
30-40K,63.0,16,40.0,Female,Bachelor,Very dissatisfied,Very important,50+
15K-22.5K,49.0,14,40.0,Female,High school,Mod satisfied,Somewhat important,40-49
15K-22.5K,35.0,14,50.0,Male,Junior college,Mod satisfied,Somewhat important,30-39
Under 15K,32.0,16,42.0,Male,High school,Very satisfied,Very important,30-39
15K-22.5K,42.0,19,34.0,Female,Graduate,Mod satisfied,Very important,40-49
Under 15K,38.0,13,48.0,Male,High school,Mod satisfied,Somewhat important,30-39
Under 15K,23.0,13,30.0,Female,High school,Mod satisfied,Very important,18-29
Under 15K,30.0,12,40.0,Male,High school,Very dissatisfied,Very important,30-39
15K-22.5K,29.0,12,50.0,Female,High school,A little dissatisfied,Very important,18-29
Under 15K,37.0,13,56.0,Female,High school,Mod satisfied,Not too important,30-39
15K-22.5K,40.0,12,50.0,Male,High school,Very satisfied,Very important,40-49
22.5K-30K,29.0,12,40.0,Female,High school,Mod satisfied,Very important,18-29
15K-22.5K,59.0,12,40.0,Male,High school,A little dissatisfied,Very important,50+
30-40K,35.0,18,60.0,Female,Bachelor,Mod satisfied,Very important,30-39
22.5K-30K,50.0,18,35.0,Female,Graduate,Very satisfied,One of most important,50+
30-40K,43.0,16,40.0,Male,Bachelor,Mod satisfied,Very important,40-49
Under 15K,39.0,13,65.0,Female,High school,Mod satisfied,Very important,30-39
Under 15K,43.0,18,30.0,Female,Bachelor,Mod satisfied,Very important,40-49
22.5K-30K,34.0,18,60.0,Male,Bachelor,Very satisfied,Very important,30-39
Under 15K,57.0,11,40.0,Female,High school,Mod satisfied,Not too important,50+
15K-22.5K,28.0,16,35.0,Male,Bachelor,Mod satisfied,Very important,18-29
Over 40K,42.0,18,40.0,Female,Graduate,Mod satisfied,One of most important,40-49
Over 40K,57.0,20,70.0,Male,Bachelor,Very satisfied,Very important,50+
Under 15K,55.0,12,80.0,Male,High school,Very satisfied,Somewhat important,50+
15K-22.5K,35.0,12,55.0,Female,High school,Mod satisfied,Not too important,30-39
22.5K-30K,34.0,12,65.0,Male,High school,Very satisfied,One of most important,30-39
22.5K-30K,21.0,13,45.0,Male,Less than HS,Very satisfied,One of most important,18-29
Under 15K,32.0,17,30.0,Female,Bachelor,Mod satisfied,One of most important,30-39
30-40K,28.0,13,40.0,Male,High school,A little dissatisfied,Not too important,18-29
Over 40K,42.0,14,40.0,Female,High school,Very satisfied,Very important,40-49
Over 40K,57.0,17,60.0,Male,Bachelor,A little dissatisfied,One of most important,50+
Over 40K,53.0,14,70.0,Male,Junior college,A little dissatisfied,One of most important,50+
Over 40K,42.0,16,44.0,Male,Bachelor,Very satisfied,Very important,40-49
Over 40K,60.0,13,60.0,Male,High school,Mod satisfied,Very important,50+
22.5K-30K,48.0,16,40.0,Female,Bachelor,A little dissatisfied,One of most important,40-49
Under 15K,41.0,16,30.0,Male,Bachelor,Very satisfied,Very important,40-49
22.5K-30K,34.0,14,50.0,Male,Junior college,Mod satisfied,Somewhat important,30-39
22.5K-30K,30.0,17,40.0,Male,Graduate,Very satisfied,Very important,30-39
Under 15K,22.0,12,40.0,Female,High school,Mod satisfied,Very important,18-29
Under 15K,36.0,13,30.0,Female,High school,Mod satisfied,Somewhat important,30-39
22.5K-30K,29.0,12,40.0,Female,High school,A little dissatisfied,One of most important,18-29
22.5K-30K,43.0,16,30.0,Male,Bachelor,Mod satisfied,Very important,40-49
15K-22.5K,36.0,9,44.0,Male,Less than HS,Mod satisfied,Very important,30-39
30-40K,46.0,12,40.0,Female,High school,Mod satisfied,Very important,40-49
30-40K,36.0,10,47.0,Male,High school,Very satisfied,Very important,30-39
Under 15K,46.0,13,40.0,Female,High school,A little dissatisfied,One of most important,40-49
Over 40K,50.0,13,40.0,Male,High school,Very satisfied,Very important,50+
15K-22.5K,24.0,16,60.0,Male,Junior college,Mod satisfied,Very important,18-29
15K-22.5K,24.0,16,45.0,Female,Bachelor,Very satisfied,Very important,18-29
15K-22.5K,29.0,12,54.0,Female,High school,Mod satisfied,Very important,18-29
Under 15K,37.0,15,45.0,Female,High school,A little dissatisfied,Very important,30-39
22.5K-30K,46.0,12,40.0,Male,High school,Mod satisfied,Very important,40-49
Under 15K,29.0,12,32.0,Male,High school,Mod satisfied,Very important,18-29
30-40K,39.0,16,40.0,Male,Bachelor,Very satisfied,Somewhat important,30-39
30-40K,31.0,15,50.0,Male,High school,Mod satisfied,Very important,30-39
Under 15K,31.0,13,40.0,Female,High school,Mod satisfied,Very important,30-39
Over 40K,55.0,16,40.0,Male,Bachelor,Mod satisfied,One of most important,50+
15K-22.5K,28.0,12,40.0,Male,High school,Mod satisfied,Very important,18-29
15K-22.5K,30.0,14,45.0,Female,Junior college,Very satisfied,One of most important,30-39
Over 40K,62.0,18,60.0,Female,Graduate,Very satisfied,One of most important,50+
30-40K,47.0,12,40.0,Male,High school,Mod satisfied,One of most important,40-49
Under 15K,51.0,12,40.0,Female,High school,Mod satisfied,Very important,50+
Under 15K,35.0,12,40.0,Female,High school,Very satisfied,Very important,30-39
Under 15K,40.0,12,48.0,Female,High school,Mod satisfied,Very important,40-49
15K-22.5K,38.0,10,65.0,Male,Less than HS,Mod satisfied,Very important,30-39
30-40K,47.0,14,40.0,Female,High school,Very satisfied,One of most important,40-49
30-40K,36.0,18,40.0,Female,Graduate,Very satisfied,Very important,30-39
30-40K,54.0,11,48.0,Male,Less than HS,Very satisfied,One of most important,50+
Under 15K,62.0,8,45.0,Male,Less than HS,Mod satisfied,Very important,50+
15K-22.5K,62.0,7,50.0,Male,Less than HS,Very satisfied,Very important,50+
Under 15K,20.0,12,42.0,Male,High school,Very satisfied,Somewhat important,18-29
Under 15K,33.0,9,40.0,Male,High school,Very satisfied,Very important,30-39
Under 15K,39.0,12,45.0,Male,High school,Very satisfied,Very important,30-39
Over 40K,54.0,16,50.0,Female,Bachelor,Very satisfied,One of most important,50+
30-40K,49.0,12,42.0,Male,High school,Very satisfied,Somewhat important,40-49
Over 40K,44.0,18,60.0,Male,Graduate,Very satisfied,Very important,40-49
Under 15K,51.0,6,40.0,Male,Less than HS,Mod satisfied,One of most important,50+
Over 40K,41.0,12,50.0,Male,High school,Mod satisfied,Very important,40-49
22.5K-30K,30.0,12,48.0,Female,High school,A little dissatisfied,Very important,30-39
15K-22.5K,31.0,14,32.0,Female,Junior college,Very satisfied,Somewhat important,30-39
Over 40K,61.0,12,45.0,Male,High school,Very satisfied,Very important,50+
Under 15K,42.0,12,44.0,Female,High school,Mod satisfied,Very important,40-49
Under 15K,23.0,16,55.0,Female,Bachelor,Very satisfied,Very important,18-29
Over 40K,37.0,16,55.0,Male,Bachelor,Mod satisfied,Very important,30-39
Under 15K,75.0,8,40.0,Male,Less than HS,Mod satisfied,Very important,50+
Under 15K,26.0,17,50.0,Female,Bachelor,Mod satisfied,Very important,18-29
Under 15K,44.0,12,40.0,Female,High school,Mod satisfied,One of most important,40-49
15K-22.5K,26.0,12,45.0,Male,High school,Very satisfied,Very important,18-29
22.5K-30K,50.0,12,24.0,Male,High school,Very satisfied,One of most important,50+
22.5K-30K,47.0,12,40.0,Female,High school,Mod satisfied,One of most important,40-49
Over 40K,58.0,18,45.0,Male,Graduate,Very satisfied,Somewhat important,50+
15K-22.5K,25.0,17,40.0,Female,Junior college,Mod satisfied,Very important,18-29
22.5K-30K,33.0,17,50.0,Male,Bachelor,Mod satisfied,Very important,30-39
30-40K,41.0,14,48.0,Female,High school,Very satisfied,Very important,40-49
15K-22.5K,38.0,15,30.0,Female,Junior college,Mod satisfied,Very important,30-39
22.5K-30K,48.0,12,38.0,Female,High school,Mod satisfied,Somewhat important,40-49
22.5K-30K,47.0,12,38.0,Female,High school,Mod satisfied,Very important,40-49
Over 40K,28.0,17,60.0,Male,Graduate,Mod satisfied,Somewhat important,18-29
Over 40K,53.0,20,50.0,Male,Graduate,Very satisfied,Very important,50+
Over 40K,35.0,17,40.0,Male,Bachelor,Very satisfied,Very important,30-39
15K-22.5K,30.60721520389917,14,35.142278368806636,Female,Junior college,Mod satisfied,Somewhat important,30-39
15K-22.5K,25.0,13,40.49176370938787,Male,High school,Mod satisfied,Very important,18-29
15K-22.5K,56.30083071666185,12,40.0,Female,High school,Mod satisfied,Very important,50+
15K-22.5K,30.351828127948803,12,40.0,Female,High school,A little dissatisfied,Somewhat important,30-39
15K-22.5K,53.472966159362194,10,41.472966159362194,Female,High school,Mod satisfied,One of most important,50+
15K-22.5K,25.042844841046954,11,39.78577579476523,Female,High school,Mod satisfied,Very important,18-29
15K-22.5K,41.42105234123794,12,60.0,Male,High school,Very satisfied,Very important,40-49
15K-22.5K,37.38973822492469,12,40.0,Female,High school,Very satisfied,Very important,40-49
15K-22.5K,25.52639195472629,14,40.0,Male,High school,Mod satisfied,Very important,18-29
15K-22.5K,32.0,16,49.601821503959286,Female,High school,Mod satisfied,Very important,30-39
15K-22.5K,46.397612602243974,12,40.0,Female,High school,Mod satisfied,Somewhat important,40-49
15K-22.5K,40.32112046988104,12,41.28448187952416,Male,High school,Very satisfied,Very important,40-49
15K-22.5K,26.279367345274082,13,45.0,Female,High school,Very satisfied,Very important,18-29
15K-22.5K,40.58201979207511,12,40.0,Female,High school,Very satisfied,Very important,40-49
15K-22.5K,24.387880311652967,14,50.0,Male,High school,Very satisfied,Very important,18-29
